"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",185,655,640,1160,470,"*",3110,155,540,575,960,380,"*",2610,5720
"All Welsh local authorities ","Isle of Anglesey ","*",15,20,15,5,"*",55,"*",10,10,15,"*","*",35,90
"","Gwynedd ","*",25,20,45,20,"*",105,10,15,20,30,20,"*",90,195
"","Conwy ","*",20,20,35,20,"*",90,"*",15,20,35,10,"*",85,180
"","Denbighshire ",5,20,20,30,20,"*",95,"*",15,15,25,10,"*",65,160
"","Flintshire ","*",20,15,35,15,"*",90,5,15,15,30,10,"*",80,170
"","Wrexham ",5,20,25,35,10,"*",95,"*",15,15,30,10,"*",75,175
"","Powys ",10,15,25,40,15,"*",100,5,10,20,25,10,"*",75,175
"","Ceredigion ","*",5,10,20,10,"*",45,"*",5,5,20,5,"*",40,80
"","Pembrokeshire ","*",10,10,40,25,"*",90,"*",15,10,25,10,"*",65,150
"","Carmarthenshire ",10,35,35,60,15,"*",150,10,25,30,45,10,"*",120,270
"","Swansea ",20,65,70,120,35,"*",310,20,55,55,75,40,"*",245,555
"","Neath Port Talbot ",15,75,55,90,20,"*",255,15,45,60,75,20,"*",215,470
"","Bridgend ",10,35,50,75,20,"*",195,5,35,35,60,15,"*",150,345
"","Vale of Glamorgan ",10,25,15,45,20,"*",115,5,20,20,35,20,"*",105,220
"","Cardiff ",15,50,50,120,65,"*",300,15,50,45,105,50,"*",270,570
"","Rhondda Cynon Taf ",15,80,85,105,50,"*",335,15,60,65,85,30,"*",260,595
"","Merthyr Tydfil ",5,25,20,40,10,"*",100,"*",15,15,40,20,"*",90,190
"","Caerphilly ",10,35,20,65,30,"*",155,5,25,25,65,30,"*",155,310
"","Blaenau Gwent ",5,20,15,25,10,"*",80,"*",10,10,25,10,"*",60,135
"","Torfaen ",15,40,40,55,15,"*",165,10,30,35,40,15,"*",135,300
"","Monmouthshire ","*",10,5,25,15,"*",55,"*",15,10,15,5,"*",50,105
"","Newport ",10,25,25,50,20,"*",130,10,30,30,55,25,"*",145,275


