"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",180,650,705,1085,515,"*",3140,155,545,570,965,395,"*",2625,5765
"All Welsh local authorities ","Isle of Anglesey ","*",10,15,15,5,"*",50,"*",10,10,5,"*","*",30,80
"","Gwynedd ","*",20,30,40,25,"*",115,5,20,20,35,15,"*",85,200
"","Conwy ",5,15,15,25,25,"*",90,"*",10,15,30,20,"*",75,165
"","Denbighshire ","*",25,20,25,10,"*",85,5,15,15,30,10,"*",75,160
"","Flintshire ","*",20,30,30,15,"*",100,5,25,25,30,10,"*",95,195
"","Wrexham ",5,20,30,35,10,"*",100,10,20,20,30,15,"*",95,195
"","Powys ","*",10,20,40,10,"*",85,"*",10,15,30,10,"*",65,150
"","Ceredigion ","*","*",10,10,10,"*",35,"*",10,"*",20,5,"*",40,75
"","Pembrokeshire ",5,10,15,40,20,"*",90,"*",10,10,20,10,"*",55,145
"","Carmarthenshire ",5,30,35,55,20,"*",145,5,30,25,50,15,"*",125,270
"","Swansea ",20,70,90,110,45,"*",335,15,55,70,85,35,"*",250,585
"","Neath Port Talbot ",10,85,60,85,25,"*",270,15,55,60,75,20,"*",225,495
"","Bridgend ",15,35,55,70,35,"*",210,20,40,30,65,20,"*",175,385
"","Vale of Glamorgan ","*",15,15,45,15,"*",95,"*",15,15,35,20,"*",85,180
"","Cardiff ",20,55,40,105,85,"*",300,5,50,35,110,50,"*",260,560
"","Rhondda Cynon Taf ",25,75,90,110,55,"*",350,10,70,70,80,40,"*",270,620
"","Merthyr Tydfil ",5,20,15,35,15,"*",90,5,15,15,35,20,"*",90,180
"","Caerphilly ",10,25,25,65,25,"*",155,10,20,25,60,30,"*",150,305
"","Blaenau Gwent ",10,15,15,25,10,"*",75,"*",10,15,20,10,"*",65,135
"","Torfaen ","*",45,45,60,15,"*",170,10,25,40,45,10,"*",130,300
"","Monmouthshire ","*",10,5,20,10,"*",50,"*",10,15,20,"*","*",50,100
"","Newport ",10,35,25,45,30,"*",140,10,25,25,55,20,"*",140,280


