"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",105,405,540,1090,365,"*",2510,100,365,465,875,310,5,2125,4635
"All Welsh local authorities ","Isle of Anglesey ","*",10,10,20,5,"*",45,"*",5,5,5,10,"*",25,75
"","Gwynedd ","*",15,20,40,15,"*",95,"*",10,10,35,10,"*",70,165
"","Conwy ","*",10,15,35,10,"*",80,"*",10,15,40,15,"*",85,165
"","Denbighshire ",10,10,15,40,10,"*",80,"*",10,10,15,10,"*",50,130
"","Flintshire ","*",15,20,40,10,"*",85,"*",15,25,20,10,"*",70,155
"","Wrexham ","*",15,15,30,10,"*",70,"*",10,15,20,5,"*",55,125
"","Powys ","*","*",15,50,15,"*",90,"*","*",15,20,10,"*",50,140
"","Ceredigion ","*","*",10,10,5,"*",35,"*",10,10,10,5,"*",35,70
"","Pembrokeshire ","*",10,15,40,20,"*",85,5,5,10,25,15,"*",60,145
"","Carmarthenshire ","*",15,30,35,15,"*",100,"*",15,20,35,10,"*",85,190
"","Swansea ",10,40,55,90,30,"*",225,"*",30,35,75,30,"*",175,400
"","Neath Port Talbot ",5,20,30,70,20,"*",145,5,25,25,60,25,"*",140,285
"","Bridgend ",10,35,40,50,20,"*",155,5,30,30,45,15,"*",125,275
"","Vale of Glamorgan ","*",20,15,35,15,"*",90,5,10,20,45,5,"*",85,175
"","Cardiff ",5,40,55,140,40,"*",285,10,40,60,95,30,"*",235,520
"","Rhondda Cynon Taf ",10,50,65,100,25,"*",250,10,45,40,70,25,"*",195,450
"","Merthyr Tydfil ","*",15,25,35,15,"*",95,"*",5,15,45,10,"*",80,175
"","Caerphilly ",5,20,25,70,15,"*",135,10,20,30,70,25,"*",150,285
"","Blaenau Gwent ","*",10,15,25,10,"*",65,"*",10,15,30,10,"*",65,130
"","Torfaen ","*",15,20,45,20,"*",110,10,20,20,40,10,"*",100,205
"","Monmouthshire ","*",10,5,20,5,"*",40,"*",5,5,20,5,"*",35,75
"","Newport ",15,25,20,60,40,"*",155,5,25,30,60,25,"*",145,300


