"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",135,550,560,1150,400,"*",2800,150,460,510,930,320,"*",2360,5160
"All Welsh local authorities ","Isle of Anglesey ","*",10,10,15,10,"*",50,"*","*",5,10,"*","*",25,75
"","Gwynedd ","*",15,20,45,15,"*",100,"*",15,15,30,10,"*",75,175
"","Conwy ","*",15,15,45,10,"*",85,"*",10,20,35,20,"*",90,170
"","Denbighshire ","*",25,20,35,15,"*",105,"*",20,15,20,5,"*",60,165
"","Flintshire ","*",15,15,40,15,"*",90,"*",10,15,30,5,"*",70,155
"","Wrexham ","*",15,15,25,15,"*",75,5,10,15,30,10,"*",70,145
"","Powys ","*",15,20,35,15,"*",90,"*",10,15,25,5,"*",55,145
"","Ceredigion ","*",10,5,20,5,"*",40,"*","*",10,15,"*","*",30,75
"","Pembrokeshire ","*",10,20,40,15,"*",90,"*",10,10,20,15,"*",60,150
"","Carmarthenshire ","*",30,40,50,10,"*",135,5,25,25,45,10,"*",110,245
"","Swansea ",20,65,65,120,30,"*",305,20,70,55,85,30,"*",255,560
"","Neath Port Talbot ",10,40,45,85,25,"*",205,15,35,50,70,15,"*",190,390
"","Bridgend ",10,45,40,55,15,"*",165,5,20,30,45,20,"*",120,290
"","Vale of Glamorgan ","*",25,15,40,10,"*",95,10,15,15,45,5,"*",90,185
"","Cardiff ",15,25,45,145,45,"*",275,20,35,50,105,45,"*",255,530
"","Rhondda Cynon Taf ",10,60,55,110,40,"*",280,15,50,50,65,25,"*",200,480
"","Merthyr Tydfil ","*",5,20,35,15,"*",75,"*",15,15,45,20,"*",90,165
"","Caerphilly ",5,35,30,65,25,"*",165,10,35,25,80,20,"*",170,335
"","Blaenau Gwent ",5,20,10,20,10,"*",60,"*",10,10,25,15,"*",55,120
"","Torfaen ",10,25,30,45,15,"*",125,10,30,30,30,15,"*",115,235
"","Monmouthshire ","*",5,5,25,15,"*",55,"*","*","*",15,5,"*",30,85
"","Newport ",15,30,20,60,25,"*",145,5,30,35,65,15,"*",150,295


