"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",155,620,740,1050,540,"*",3105,160,500,575,975,435,"*",2640,5745
"All Welsh local authorities ","Isle of Anglesey ","*",10,15,15,5,"*",45,"*",10,5,10,5,"*",35,75
"","Gwynedd ","*",20,30,35,20,"*",105,"*",15,20,30,10,"*",80,185
"","Conwy ","*",15,15,25,20,"*",80,10,10,10,35,20,"*",85,165
"","Denbighshire ",5,20,25,25,10,"*",90,5,15,15,30,5,"*",70,160
"","Flintshire ","*",25,30,30,20,"*",110,"*",30,25,35,10,"*",105,210
"","Wrexham ",5,25,30,35,20,"*",110,5,20,20,30,20,"*",100,210
"","Powys ","*",10,15,40,15,"*",80,"*",10,15,35,10,"*",70,150
"","Ceredigion ","*",5,10,10,5,"*",35,"*",10,5,15,10,"*",40,75
"","Pembrokeshire ","*",10,10,25,25,"*",75,"*",10,5,20,10,"*",50,125
"","Carmarthenshire ",5,20,35,60,20,"*",140,5,20,25,45,10,"*",105,245
"","Swansea ",20,60,80,105,40,"*",305,10,45,65,85,30,"*",235,535
"","Neath Port Talbot ",10,60,75,75,40,"*",255,20,35,50,70,35,"*",210,465
"","Bridgend ",10,40,60,85,30,"*",230,10,45,35,60,30,"*",185,410
"","Vale of Glamorgan ","*",15,20,35,30,"*",100,5,15,15,30,20,"*",85,185
"","Cardiff ",20,75,55,95,85,"*",330,15,45,45,110,70,"*",280,610
"","Rhondda Cynon Taf ",20,75,85,115,45,"*",345,25,65,75,100,40,"*",310,650
"","Merthyr Tydfil ","*",15,20,40,10,"*",90,5,15,20,30,20,"*",85,175
"","Caerphilly ",5,25,25,60,30,"*",145,5,15,25,50,30,"*",130,275
"","Blaenau Gwent ","*",20,25,25,10,"*",80,"*",10,15,25,10,"*",60,145
"","Torfaen ",5,35,45,55,25,"*",170,10,25,40,45,10,"*",130,295
"","Monmouthshire ","*",10,10,15,10,"*",50,"*",10,15,20,"*","*",55,105
"","Newport ",10,30,25,45,35,"*",140,10,25,30,55,25,"*",145,285


