"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",115,415,575,975,265,10,2360,95,325,485,865,250,10,2030,4390
"All Welsh local authorities ","Isle of Anglesey ","*",5,5,15,10,"*",40,"*",5,5,10,5,"*",30,65
"","Gwynedd ",5,10,25,30,10,"*",80,"*",5,20,25,5,"*",60,140
"","Conwy ","*",10,20,20,"*","*",60,"*",15,15,35,5,"*",75,135
"","Denbighshire ",5,10,20,45,5,"*",85,5,10,15,25,5,"*",60,145
"","Flintshire ","*",5,10,35,10,"*",70,"*",5,15,20,20,"*",65,135
"","Wrexham ",5,10,10,30,10,"*",65,"*",5,10,15,10,"*",50,115
"","Powys ","*",10,10,40,10,"*",70,"*",5,10,25,10,"*",50,120
"","Ceredigion ","*",10,10,5,5,"*",35,"*",5,5,15,"*","*",35,70
"","Pembrokeshire ","*",15,25,35,15,"*",90,5,10,5,35,15,"*",70,160
"","Carmarthenshire ",5,15,20,40,10,"*",90,"*",5,15,30,10,"*",65,155
"","Swansea ",10,40,60,70,20,"*",200,5,30,40,60,25,"*",160,360
"","Neath Port Talbot ","*",20,40,55,20,"*",135,10,15,25,55,10,"*",120,255
"","Bridgend ",5,35,25,45,10,"*",115,10,15,25,50,10,"*",110,225
"","Vale of Glamorgan ","*",20,25,40,10,"*",95,5,15,30,35,10,"*",95,190
"","Cardiff ",15,45,85,110,25,"*",285,10,50,60,95,20,"*",235,520
"","Rhondda Cynon Taf ",15,50,55,70,20,"*",210,5,30,45,75,15,"*",170,380
"","Merthyr Tydfil ","*",15,25,40,10,"*",95,"*",10,20,35,5,"*",75,170
"","Caerphilly ",5,20,35,75,25,"*",165,"*",10,40,65,15,"*",135,300
"","Blaenau Gwent ","*",25,20,40,10,"*",95,"*",15,30,45,10,"*",100,195
"","Torfaen ","*",15,25,45,10,"*",105,5,15,15,25,10,"*",70,175
"","Monmouthshire ","*",5,5,15,"*","*",30,"*",5,5,20,5,"*",35,70
"","Newport ",10,20,30,60,20,"*",145,5,25,30,65,20,"*",150,295


