"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",90,445,560,1085,330,5,2520,95,355,465,880,325,"*",2125,4645
"All Welsh local authorities ","Isle of Anglesey ","*",10,10,20,"*","*",45,"*",10,10,10,5,"*",30,75
"","Gwynedd ",5,15,20,40,10,"*",85,"*",10,15,35,10,"*",70,160
"","Conwy ",5,10,15,35,10,"*",75,"*",5,10,35,10,"*",65,145
"","Denbighshire ","*",15,15,45,10,"*",85,"*",15,10,20,5,"*",55,140
"","Flintshire ","*",15,10,40,10,"*",85,5,10,20,25,10,"*",70,155
"","Wrexham ","*",15,10,30,10,"*",70,"*",10,10,20,5,"*",55,120
"","Powys ","*",10,20,45,10,"*",80,"*",10,15,25,5,"*",55,140
"","Ceredigion ","*",5,10,10,5,"*",35,"*",5,10,15,5,"*",35,65
"","Pembrokeshire ","*",15,20,40,10,"*",90,"*",10,15,30,15,"*",70,160
"","Carmarthenshire ","*",20,20,40,15,"*",100,5,10,20,40,10,"*",80,180
"","Swansea ",5,45,70,85,25,"*",230,5,35,35,75,20,"*",170,400
"","Neath Port Talbot ","*",15,30,65,25,"*",135,5,20,30,55,20,"*",135,275
"","Bridgend ",10,40,40,55,15,"*",160,10,30,35,40,20,"*",135,290
"","Vale of Glamorgan ","*",20,20,40,15,"*",100,"*",20,20,35,10,"*",90,185
"","Cardiff ",10,45,65,140,40,"*",300,10,35,50,110,30,"*",240,540
"","Rhondda Cynon Taf ",10,50,50,100,25,"*",235,10,40,40,70,45,"*",205,440
"","Merthyr Tydfil ","*",20,20,40,10,"*",95,"*",10,15,40,10,"*",80,175
"","Caerphilly ",5,25,35,65,20,"*",150,5,20,25,65,20,"*",145,290
"","Blaenau Gwent ","*",15,15,30,10,"*",75,"*",5,20,35,10,"*",70,145
"","Torfaen ","*",20,25,45,15,"*",105,5,10,25,35,10,"*",85,195
"","Monmouthshire ","*",5,5,15,5,"*",35,"*",5,"*",20,5,"*",35,65
"","Newport ",5,25,25,65,35,"*",155,10,30,30,55,35,"*",150,310


