"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",80,425,590,950,270,15,2330,80,350,515,800,245,5,1990,4320
"All Welsh local authorities ","Isle of Anglesey ","*",5,"*",15,5,"*",30,"*","*","*",10,"*","*",25,55
"","Gwynedd ","*",15,20,35,10,"*",80,"*",10,20,25,5,"*",60,140
"","Conwy ","*",5,20,15,"*","*",45,"*",10,20,30,5,"*",65,115
"","Denbighshire ","*",15,25,40,5,5,95,"*",20,15,20,15,"*",75,170
"","Flintshire ","*",10,15,40,5,"*",70,"*",10,15,25,10,"*",70,140
"","Wrexham ","*",5,15,35,5,"*",70,"*",5,10,25,10,"*",50,120
"","Powys ","*",10,10,35,5,"*",65,"*",10,5,20,10,"*",50,115
"","Ceredigion ","*",10,10,10,10,"*",35,"*",5,10,15,5,"*",35,70
"","Pembrokeshire ","*",15,20,25,15,"*",80,5,10,10,30,10,"*",65,150
"","Carmarthenshire ","*",10,25,35,15,"*",85,"*",10,15,30,10,"*",70,155
"","Swansea ",10,35,50,75,15,"*",190,15,20,35,45,20,"*",135,325
"","Neath Port Talbot ",5,30,35,50,15,"*",135,"*",20,30,45,10,"*",105,240
"","Bridgend ","*",30,35,45,15,"*",125,5,20,30,50,10,"*",115,240
"","Vale of Glamorgan ",5,20,25,45,15,"*",115,"*",20,30,30,15,"*",95,205
"","Cardiff ",5,50,85,110,35,"*",285,5,50,65,85,25,"*",230,515
"","Rhondda Cynon Taf ",5,60,60,75,25,"*",230,5,40,50,75,15,"*",190,415
"","Merthyr Tydfil ","*",15,15,30,10,"*",75,"*",10,20,25,10,"*",65,145
"","Caerphilly ","*",20,40,75,20,"*",165,"*",20,45,60,15,"*",140,305
"","Blaenau Gwent ",10,25,20,35,10,"*",95,5,10,30,40,10,"*",100,195
"","Torfaen ",5,20,25,40,10,"*",100,"*",15,20,20,5,"*",60,160
"","Monmouthshire ","*","*",5,15,"*","*",30,"*",5,5,15,5,"*",40,70
"","Newport ","*",20,25,65,15,"*",130,10,25,30,65,20,"*",140,270


