"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",195,575,760,1150,515,"*",3195,165,490,615,1015,465,"*",2745,5945
"All Welsh local authorities ","Isle of Anglesey ","*",15,25,30,10,"*",80,5,10,15,20,10,"*",60,140
"","Gwynedd ",5,20,35,45,15,"*",120,5,25,20,30,15,"*",95,220
"","Conwy ",5,15,20,35,15,"*",95,"*",10,20,25,15,"*",80,175
"","Denbighshire ",5,15,20,30,10,"*",80,"*",20,20,25,15,"*",75,155
"","Flintshire ",10,20,30,35,15,"*",105,5,20,25,35,25,"*",110,210
"","Wrexham ","*",15,30,40,25,"*",105,"*",20,25,35,20,"*",105,210
"","Powys ",5,10,15,40,15,"*",85,10,10,10,30,10,"*",70,155
"","Ceredigion ",5,5,10,15,10,"*",40,"*",5,5,10,10,"*",35,75
"","Pembrokeshire ","*",10,20,30,10,"*",70,"*",10,10,15,20,"*",55,125
"","Carmarthenshire ",5,15,25,45,25,"*",120,"*",10,15,45,15,"*",85,205
"","Swansea ",10,45,65,100,35,"*",255,5,40,55,90,35,"*",225,480
"","Neath Port Talbot ",15,35,55,65,30,"*",195,10,20,40,55,30,"*",150,345
"","Bridgend ",15,45,55,75,35,"*",225,10,30,40,60,25,"*",165,390
"","Vale of Glamorgan ",10,25,25,40,10,"*",105,5,20,35,45,15,"*",120,225
"","Cardiff ",25,80,90,120,75,"*",385,15,65,65,120,70,"*",335,720
"","Rhondda Cynon Taf ",25,90,85,125,50,"*",375,30,60,85,110,30,"*",315,690
"","Merthyr Tydfil ","*",5,10,40,15,"*",75,"*",10,10,30,15,"*",70,145
"","Caerphilly ",10,30,45,65,40,"*",185,10,25,25,55,30,"*",140,330
"","Blaenau Gwent ",5,25,25,35,15,"*",105,5,20,25,45,10,"*",105,210
"","Torfaen ",10,25,35,70,20,"*",165,10,25,40,55,20,"*",155,315
"","Monmouthshire ",5,15,20,15,10,"*",65,"*",10,15,30,10,"*",65,135
"","Newport ",5,20,30,55,30,"*",145,15,20,20,55,25,"*",135,280


