"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",155,530,760,1095,480,"*",3025,145,485,555,990,460,"*",2640,5665
"All Welsh local authorities ","Isle of Anglesey ","*",15,15,25,5,"*",65,"*",10,10,15,5,"*",40,110
"","Gwynedd ","*",20,40,40,10,"*",115,5,20,20,30,20,"*",95,205
"","Conwy ","*",15,20,30,15,"*",90,"*",15,15,30,15,"*",80,170
"","Denbighshire ",5,20,25,30,10,"*",90,10,25,15,25,10,"*",85,175
"","Flintshire ","*",20,25,35,10,"*",95,5,30,20,35,20,"*",110,210
"","Wrexham ","*",15,30,30,25,"*",105,"*",20,20,35,15,"*",95,200
"","Powys ","*",5,10,45,15,"*",75,"*",10,15,35,10,"*",70,150
"","Ceredigion ","*",10,10,15,10,"*",45,"*",5,5,15,5,"*",35,80
"","Pembrokeshire ","*",5,15,25,20,"*",70,"*",5,10,20,20,"*",55,125
"","Carmarthenshire ","*",15,25,60,20,"*",125,5,5,15,45,15,"*",90,215
"","Swansea ",20,50,75,90,40,"*",275,15,45,50,90,35,"*",235,510
"","Neath Port Talbot ",15,30,75,70,25,"*",215,5,30,30,70,30,"*",160,375
"","Bridgend ",15,40,45,80,30,"*",215,10,30,40,60,25,"*",165,380
"","Vale of Glamorgan ",5,20,25,25,20,"*",95,"*",20,20,30,20,"*",100,195
"","Cardiff ",15,65,70,105,75,"*",330,20,50,65,110,75,"*",315,645
"","Rhondda Cynon Taf ",20,65,80,115,50,"*",325,25,60,70,110,30,"*",295,625
"","Merthyr Tydfil ","*","*",15,35,20,"*",75,5,10,10,30,10,"*",65,140
"","Caerphilly ",10,20,35,65,20,"*",155,"*",20,25,45,30,"*",120,275
"","Blaenau Gwent ",5,20,20,40,10,"*",95,10,20,20,40,10,"*",95,190
"","Torfaen ",5,25,40,60,15,"*",145,5,20,35,50,15,"*",125,270
"","Monmouthshire ",5,20,20,20,5,"*",70,"*",15,10,20,15,"*",60,130
"","Newport ",5,25,35,55,25,"*",150,5,30,25,55,25,"*",145,295


