"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",150,585,585,1160,405,"*",2890,140,545,545,915,375,"*",2520,5410
"All Welsh local authorities ","Isle of Anglesey ","*",10,15,10,10,"*",45,"*",10,5,10,5,"*",35,80
"","Gwynedd ","*",20,15,45,15,"*",100,"*",15,15,30,15,"*",75,175
"","Conwy ","*",15,10,45,10,"*",85,"*",15,15,35,15,"*",85,165
"","Denbighshire ",5,20,30,30,20,"*",105,5,20,15,20,5,"*",70,175
"","Flintshire ","*",15,15,35,15,"*",85,"*",20,15,30,10,"*",75,160
"","Wrexham ","*",15,15,30,15,"*",85,5,20,10,25,10,"*",70,155
"","Powys ","*",15,20,35,20,"*",100,"*",10,25,25,5,"*",70,170
"","Ceredigion ","*",10,5,15,5,"*",40,"*","*",5,20,10,"*",40,80
"","Pembrokeshire ","*",10,15,35,15,"*",80,"*",15,15,25,15,"*",75,155
"","Carmarthenshire ",10,30,35,55,10,"*",140,10,25,30,40,20,"*",120,260
"","Swansea ",25,65,70,125,25,"*",315,15,70,60,85,35,"*",265,580
"","Neath Port Talbot ",15,45,40,85,20,"*",205,15,45,55,75,20,"*",205,410
"","Bridgend ",5,40,45,70,20,"*",175,15,25,35,50,20,"*",150,325
"","Vale of Glamorgan ","*",30,20,40,15,"*",105,5,20,15,40,20,"*",105,205
"","Cardiff ",15,45,40,125,50,"*",280,5,45,45,100,40,"*",240,520
"","Rhondda Cynon Taf ",25,70,65,115,45,"*",320,15,65,55,75,25,"*",230,550
"","Merthyr Tydfil ",10,10,20,35,15,"*",85,"*",10,10,35,20,"*",80,165
"","Caerphilly ","*",25,20,65,30,"*",140,10,25,30,70,25,"*",165,300
"","Blaenau Gwent ","*",20,20,20,10,"*",70,"*",10,10,25,15,"*",60,130
"","Torfaen ",5,40,35,55,10,"*",150,5,40,40,35,20,"*",140,285
"","Monmouthshire ","*",5,5,25,15,"*",50,"*",5,"*",15,"*","*",25,80
"","Newport ",5,25,25,55,20,"*",130,5,35,35,50,25,"*",150,285


