"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",125,430,500,1125,400,"*",2580,95,395,460,860,300,"*",2115,4695
"All Welsh local authorities ","Isle of Anglesey ","*",15,10,15,5,"*",50,"*","*",10,10,"*","*",25,70
"","Gwynedd ","*",15,20,45,10,"*",95,5,15,10,30,15,"*",70,165
"","Conwy ",5,5,15,40,15,"*",80,"*",10,20,40,15,"*",80,160
"","Denbighshire ","*",15,20,30,15,"*",85,5,10,15,15,10,"*",55,140
"","Flintshire ","*",10,20,40,15,"*",90,"*",10,15,25,5,"*",60,145
"","Wrexham ",5,15,15,25,10,"*",75,5,10,15,20,5,"*",60,130
"","Powys ","*",10,15,45,15,"*",90,"*","*",15,20,5,"*",50,140
"","Ceredigion ","*",5,5,15,"*","*",35,"*",5,10,10,5,"*",35,70
"","Pembrokeshire ","*",5,15,40,15,"*",85,"*",10,10,15,15,"*",50,135
"","Carmarthenshire ",5,30,25,45,15,"*",120,5,20,25,40,10,"*",100,220
"","Swansea ",15,45,50,110,25,"*",240,10,45,40,75,25,"*",200,440
"","Neath Port Talbot ",5,25,30,65,25,"*",155,5,20,30,55,20,"*",135,290
"","Bridgend ",10,30,35,60,10,"*",145,"*",20,30,40,20,"*",110,255
"","Vale of Glamorgan ","*",20,10,40,20,"*",90,"*",15,10,45,5,"*",75,170
"","Cardiff ",10,30,50,135,45,"*",270,10,40,60,95,40,"*",245,520
"","Rhondda Cynon Taf ",10,45,60,105,30,"*",250,15,50,40,65,20,"*",190,440
"","Merthyr Tydfil ",5,10,20,30,15,"*",85,"*",10,15,40,15,"*",80,160
"","Caerphilly ",5,20,30,65,25,"*",145,5,35,30,75,20,"*",170,315
"","Blaenau Gwent ",10,20,10,25,10,"*",70,"*",10,5,25,10,"*",55,125
"","Torfaen ",5,20,25,45,15,"*",105,5,25,20,35,10,"*",100,205
"","Monmouthshire ","*",10,"*",35,20,"*",75,"*",5,"*",15,10,"*",35,110
"","Newport ",5,30,20,60,30,"*",150,5,20,35,60,15,"*",140,290


