"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",80,425,590,880,275,20,2270,75,345,495,775,225,10,1925,4195
"All Welsh local authorities ","Isle of Anglesey ","*",5,"*",15,5,"*",35,"*","*","*",10,"*","*",20,50
"","Gwynedd ","*",15,25,35,10,"*",85,"*",10,20,25,5,"*",65,145
"","Conwy ","*",10,25,20,15,"*",75,"*",15,25,30,10,"*",90,160
"","Denbighshire ","*",15,20,30,10,5,85,5,10,15,20,10,"*",60,140
"","Flintshire ","*",5,15,30,15,"*",65,"*",15,20,30,10,"*",75,145
"","Wrexham ","*",15,20,30,5,"*",75,"*",5,10,20,5,"*",45,120
"","Powys ","*",15,10,25,"*","*",50,5,10,10,25,5,"*",50,105
"","Ceredigion ","*",5,5,15,"*","*",30,"*",5,5,15,10,"*",30,65
"","Pembrokeshire ","*",15,20,30,20,"*",85,"*",5,15,35,10,"*",70,150
"","Carmarthenshire ","*",10,30,35,15,"*",95,"*",10,15,30,15,"*",80,170
"","Swansea ",5,30,45,60,10,"*",155,"*",15,35,50,15,"*",120,280
"","Neath Port Talbot ",5,35,35,50,10,"*",135,5,20,30,45,15,"*",115,255
"","Bridgend ","*",25,30,35,10,"*",105,"*",20,25,40,10,"*",95,200
"","Vale of Glamorgan ",5,20,25,35,15,"*",100,"*",15,25,35,15,"*",90,190
"","Cardiff ",10,65,80,115,35,"*",305,10,50,55,70,20,"*",215,520
"","Rhondda Cynon Taf ",15,50,55,70,25,"*",215,10,35,50,70,15,"*",175,390
"","Merthyr Tydfil ","*",20,10,35,"*","*",70,"*",10,20,25,5,"*",70,140
"","Caerphilly ","*",20,40,65,25,"*",155,"*",20,35,60,15,"*",130,285
"","Blaenau Gwent ",5,10,30,35,15,"*",95,"*",15,30,40,10,"*",95,185
"","Torfaen ","*",25,20,30,10,"*",90,"*",15,15,20,5,"*",50,140
"","Monmouthshire ","*","*","*",15,"*","*",25,"*","*",5,15,"*","*",30,50
"","Newport ","*",15,35,65,15,"*",140,10,35,35,70,15,"*",165,300


